2048 4 12.452 12.452 12.452
1 2 0 0 0
2 2 0.77825 0.77825 0
3 1 0.77825 0 0.77825
4 1 0 0.77825 0.77825
5 2 0 0 1.5565
6 2 0.77825 0.77825 1.5565
7 2 0.77825 0 2.3347
8 1 0 0.77825 2.3347
9 2 0 0 3.113
10 2 0.77825 0.77825 3.113
11 1 0.77825 0 3.8912
12 1 0 0.77825 3.8912
13 1 0 0 4.6695
14 2 0.77825 0.77825 4.6695
15 1 0.77825 0 5.4477
16 2 0 0.77825 5.4477
17 2 0 0 6.226
18 1 0.77825 0.77825 6.226
19 1 0.77825 0 7.0042
20 2 0 0.77825 7.0042
21 1 0 0 7.7825
22 2 0.77825 0.77825 7.7825
23 1 0.77825 0 8.5607
24 1 0 0.77825 8.5607
25 2 0 0 9.339
26 2 0.77825 0.77825 9.339
27 2 0.77825 0 10.117
28 1 0 0.77825 10.117
29 2 0 0 10.895
30 2 0.77825 0.77825 10.895
31 2 0.77825 0 11.674
32 1 0 0.77825 11.674
33 1 0 1.5565 0
34 1 0.77825 2.3347 0
35 2 0.77825 1.5565 0.77825
36 1 0 2.3347 0.77825
37 1 0 1.5565 1.5565
38 2 0.77825 2.3347 1.5565
39 2 0.77825 1.5565 2.3347
40 2 0 2.3347 2.3347
41 2 0 1.5565 3.113
42 2 0.77825 2.3347 3.113
43 2 0.77825 1.5565 3.8912
44 2 0 2.3347 3.8912
45 2 0 1.5565 4.6695
46 2 0.77825 2.3347 4.6695
47 2 0.77825 1.5565 5.4477
48 2 0 2.3347 5.4477
49 1 0 1.5565 6.226
50 2 0.77825 2.3347 6.226
51 1 0.77825 1.5565 7.0042
52 2 0 2.3347 7.0042
53 2 0 1.5565 7.7825
54 1 0.77825 2.3347 7.7825
55 2 0.77825 1.5565 8.5607
56 1 0 2.3347 8.5607
57 2 0 1.5565 9.339
58 2 0.77825 2.3347 9.339
59 2 0.77825 1.5565 10.117
60 1 0 2.3347 10.117
61 2 0 1.5565 10.895
62 2 0.77825 2.3347 10.895
63 2 0.77825 1.5565 11.674
64 1 0 2.3347 11.674
65 2 0 3.113 0
66 1 0.77825 3.8912 0
67 2 0.77825 3.113 0.77825
68 2 0 3.8912 0.77825
69 1 0 3.113 1.5565
70 1 0.77825 3.8912 1.5565
71 2 0.77825 3.113 2.3347
